report_section,standard,2011,2012,2013,2014,2015,2016,2017
identifiers,school_name,university,SchoolName,SchoolName,SchoolName,SchoolName,SchoolName,SchoolName
identifiers,legacy_year,yr,NULL,NULL,NULL,NULL,NULL,NULL
employment_statuses,legacy_num_empl,Number Employed,NULL,NULL,NULL,NULL,NULL,NULL
employment_statuses,employed_bar_required,NULL,EmployedBarPassageRequiredNumber,EmployedBarPassageRequiredNumber,EmployedBarPassageRequiredNumber,EmployedBarPassageRequiredNumber,EmployedBarPassageRequiredNumber,EmployedBarPassageRequiredNumber
employment_statuses,employed_jd_advantage,NULL,EmployedJDAdvantageNumber,EmployedJDAdvantageNumber,EmployedJDAdvantageNumber,EmployedJDAdvantageNumber,EmployedJDAdvantageNumber,EmployedJDAdvantageNumber
employment_statuses,employed_profession,NULL,EmployedProfessionPositionNumber,EmployedProfessionPositionNumber,EmployedProfessionPositionNumber,EmployedProfessionPositionNumber,EmployedProfessionPositionNumber,EmployedProfessionPositionNumber
employment_statuses,employed_nonprofession,NULL,EmployedNonProfessionPositionNumber,EmployedNonProfessionPositionNumber,EmployedNonProfessionPositionNumber,EmployedNonProfessionPositionNumber,EmployedNonProfessionPositionNumber,EmployedNonProfessionPositionNumber
employment_statuses,employed_law_school,NULL,NULL,NULL,NULL,NULL,EmployedLawSchoolNumber,EmployedLawSchoolNumber
employment_statuses,employed_undeterminable,NULL,EmployedUndeterminableNumber,EmployedUndeterminableNumber,EmployedUndeterminableNumber,EmployedUndeterminableNumber,EmployedUndeterminableNumber,EmployedUndeterminableNumber
employment_statuses,employed_grad_degree,Purs Grad Deg FT,EmployedPursuingGraduateDegreeNumber,EmployedPursuingGraduateDegreeNumber,EmployedPursuingGraduateDegreeNumber,EmployedPursuingGraduateDegreeNumber,EmployedPursuingGraduateDegreeNumber,EmployedPursuingGraduateDegreeNumber
employment_statuses,unemployed_deferred,NULL,UnEmployedStartDateDeferredNumber,UnEmployedStartDateDeferredNumber,UnEmployedStartDateDeferredNumber,UnEmployedStartDateDeferredNumber,UnEmployedStartDateDeferredNumber,UnEmployedStartDateDeferredNumber
employment_statuses,unemployed_not_seeking,Unempl Not Seek,UnEmployedNotSeekingNumber,UnEmployedNotSeekingNumber,UnEmployedNotSeekingNumber,UnEmployedNotSeekingNumber,UnEmployedNotSeekingNumber,UnEmployedNotSeekingNumber
employment_statuses,unemployed_seeking,Unemployed Seek,UnEmployedSeekingNumber,UnEmployedSeekingNumber,UnEmployedSeekingNumber,UnEmployedSeekingNumber,UnEmployedSeekingNumber,UnEmployedSeekingNumber
employment_statuses,employment_status_unknown,Emp Status Unk,EmploymentStatusUnknownNumber,EmploymentStatusUnknownNumber,EmploymentStatusUnknownNumber,EmploymentStatusUnknownNumber,EmploymentStatusUnknownNumber,EmploymentStatusUnknownNumber
employment_statuses,total_grads,Total Graduates,TotalGraduatesNumber,TotalGraduatesNumber,TotalGraduatesNumber,TotalGraduatesNumber,TotalGraduatesNumber,TotalGraduatesNumber
employment_statuses,legacy_funded,Law Schl Funded,Funded Position,NULL,NULL,NULL,NULL,NULL
employment_types,firm_solo,Emp Solo,Solo,Solo,Solo,Solo,Solo,Solo
employment_types,firm_step_10,Emp 2-10,2-10,2-10,10-Feb,2-10,10-Feb,10-Feb
employment_types,firm_step_25,Emp 11-25,11-25,11-25,25-Nov,11-25,25-Nov,25-Nov
employment_types,firm_step_50,Emp 26-50,26-50,26-50,26-50,26-50,26-50,26-50
employment_types,firm_step_100,Emp 51-100,51-100,51-100,51-100,51-100,51-100,51-100
employment_types,firm_step_250,Emp 101-250,101-250,101-250,101-250,101-250,101-250,101-250
employment_types,firm_step_500,Emp 251-500,251-500,251-500,251-500,251-500,251-500,251-500
employment_types,firm_over_501,Emp 501+,501-PLUS,501-PLUS,501-PLUS,501-PLUS,501-PLUS,501-PLUS
employment_types,firm_size_unknown,Emp Type Unk,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
employment_types,business,Bus & Ind,BusinessIndustry,BusinessIndustry,BusinessIndustry,BusinessIndustry,BusinessIndustry,BusinessIndustry
employment_types,government,Government,Government,Government,Government,Government,Government,Government
employment_types,public_interest,Public Interest,PublicInterest,PublicInterest,PublicInterest,PublicInterest,PublicInterest,PublicInterest
employment_types,clerkship_federal,Federal,Federal,Federal,Federal,Federal,Federal,Federal
employment_types,clerkship_state_local,State & local,StateLocal,StateLocal,StateLocal,StateLocal,StateLocal,StateLocal
employment_types,clerkship_other,NULL,Other,Other,Other,Other,Other,Other
employment_types,academia,Academia,Academia,Education,Academia,Academia,Academia,Academia
employment_types,employer_type_unknown,Emp Type Unk,UnknownEmployerType Total,UnknownEmployerType,UnknownEmployerType,UnknownEmployerType,UnknownEmployerType,UnknownEmployerType
employment_types,total_employed,Tot Emp Type,Total,Total,Total,Total,Total,Total
employment_locations,location_first_label,State 1 Lrgst Emp,FirstLargestEmployment,FirstLargestEmployment,FirstLargestEmployment,FirstLargestEmployment,FirstLargestEmployment,FirstLargestEmployment
employment_locations,location_first,State 1 Lrgst Emp Num,FirstLargestEmploymentNumber,FirstLargestEmploymentNumber,FirstLargestEmploymentNumber,FirstLargestEmploymentNumber,FirstLargestEmploymentNumber,FirstLargestEmploymentNumber
employment_locations,location_second_label,State 2 Lrgst Emp,SecondLargestEmployment,SecondLargestEmployment,SecondLargestEmployment,SecondLargestEmployment,SecondLargestEmployment,SecondLargestEmployment
employment_locations,location_second,State 2 Lrgst Emp Num,SecondLargestEmploymentNumber,SecondLargestEmploymentNumber,SecondLargestEmploymentNumber,SecondLargestEmploymentNumber,SecondLargestEmploymentNumber,SecondLargestEmploymentNumber
employment_locations,location_third_label,State 3 Lrgst Emp,ThirdLargestEmployment,ThirdLargestEmployment,ThirdLargestEmployment,ThirdLargestEmployment,ThirdLargestEmployment,ThirdLargestEmployment
employment_locations,location_third,State 3 Lrgst Emp Num,ThirdLargestEmploymentNumber,ThirdLargestEmploymentNumber,ThirdLargestEmploymentNumber,ThirdLargestEmploymentNumber,ThirdLargestEmploymentNumber,ThirdLargestEmploymentNumber
employment_locations,location_foreign,Emp Forgn Countries,EmployedInForeignCountries,EmployedInForeignCountries,EmployedInForeignCountries,EmployedInForeignCountries,EmployedInForeignCountries,EmployedInForeignCountries
