report_school_name,report_years,matches_school_uuid,match_confidence
"AKRON, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",114,1
"ALABAMA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",2,1
ALBANY LAW SCHOOL,[2012],97,0.8
ALBANY LAW SCHOOL OF UNION UNIVERSITY,"[2013, 2014, 2015, 2016, 2017]",97,1
AMERICAN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",27,1
APPALACHIAN SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",191,1
ARIZONA STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",3,1
ARIZONA SUMMIT LAW SCHOOL,"[2013, 2014, 2015, 2016, 2017]",202,1
"ARIZONA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",4,1
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",5,1
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",6,1
ATLANTA JOHN MARSHALL SAVANNAH,"[2016, 2017]",#N/A,0
ATLANTA'S JOHN MARSHALL LAW SHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",197,1
AVE MARIA,[2012],193,0.8
AVE MARIA SCHOOL OF LAW,"[2013, 2014, 2015, 2016, 2017]",193,1
"BALTIMORE, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",67,1
BARRY UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",192,1
BAYLOR UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",149,1
BELMONT UNIVERSITY,"[2015, 2016, 2017]",213,1
BOSTON COLLEGE,"[2012, 2013, 2014, 2015, 2016, 2017]",73,1
BOSTON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",69,1
BRIGHAM YOUNG UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",150,1
BROOKLYN LAW SCHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",100,1
CALIFORNIA WESTERN SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",14,1
"CALIFORNIA-BERKELEY, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",7,1
"CALIFORNIA-DAVIS, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",8,1
"CALIFORNIA-HASTINGS, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",16,1
"CALIFORNIA-IRVINE, UNIVERSITY OF","[2013, 2014, 2015, 2016, 2017]",211,1
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",9,1
CAMPBELL UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",169,1
CAPITAL UNIVERSITY,"[2012, 2013, 2016, 2014, 2015, 2017]",118,1
CARDOZO SCHOOL OF LAW,"[2013, 2014, 2015, 2016, 2017]",168,1
CASE WESTERN RESERVE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",117,1
CATHOLIC UNIVERSITY OF AMERICA,"[2012, 2013, 2014, 2015, 2016, 2017]",29,1
CHAPMAN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",186,1
CHARLESTON SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",201,1
CHARLOTTE SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",206,1
CHICAGO-KENT COLLEGE OF LAW-IIT,"[2013, 2014, 2015, 2016, 2017]",45,1
"CHICAGO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",50,1
"CINCINNATI, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",115,1
CITY UNIVERSITY OF NEW YORK,"[2012, 2013, 2014, 2015, 2016, 2017]",176,1
CLEVELAND STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",116,1
"COLORADO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",22,1
COLUMBIA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",101,1
