SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedLawSchoolFTLT,EmployedLawSchoolFTST,EmployedLawSchoolPTLT,EmployedLawSchoolPTST,EmployedLawSchoolNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",73,1,8,3,85,17,3,2,1,23,7,0,4,1,12,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,2,8,4,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,5,25,1,6,1,33,6,0,0,0,6,3,0,0,0,3,3,0,0,0,3,9,0,0,0,9,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,22,3,6,1,32,19,0,2,2,23,0,0,2,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,97,4,18,5,124,Ohio,105,Pennsylvania,6,California,2,0
"ALABAMA, UNIVERSITY OF",104,3,3,0,110,13,3,0,2,18,2,1,1,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,3,0,23,8,0,0,0,8,12,0,0,0,12,3,0,0,0,3,9,0,0,0,9,9,0,0,0,9,4,0,0,0,4,0,0,0,0,0,14,3,1,2,20,13,2,0,0,15,2,1,0,1,4,12,0,0,0,12,12,0,0,0,12,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,120,7,4,4,135,Alabama,72,Texas,12,Tennessee,9,1
ALBANY LAW SCHOOL OF UNION UNIVERSITY,119,0,1,0,120,25,5,2,1,33,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,22,0,183,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,1,1,4,30,0,1,0,31,9,1,0,0,10,8,0,0,0,8,5,0,0,0,5,5,0,0,0,5,7,1,0,0,8,6,0,0,0,6,0,0,1,0,1,18,0,0,0,18,34,3,0,0,37,10,0,0,0,10,3,0,0,0,3,8,0,0,0,8,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,150,5,3,1,159,New York,139,New Jersey,3,Pennsylvania,3,0
"CALIFORNIA-IRVINE, UNIVERSITY OF",71,0,1,0,72,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,3,2,3,8,0,110,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,7,0,1,0,8,6,0,0,0,6,2,0,0,0,2,3,0,0,0,3,3,0,0,0,3,2,0,0,0,2,12,0,0,0,12,0,0,0,0,0,3,0,0,0,3,20,0,0,0,20,18,0,0,0,18,14,0,0,0,14,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,93,0,1,0,94,CALIFORNIA,65,DISTRICT OF COLUMBIA,5,HAWAII,5,0
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",247,1,5,1,254,25,1,2,2,30,1,0,1,0,2,0,0,0,0,0,34,0,0,0,34,0,0,0,0,0,3,0,3,9,0,335,31,0,0,0,31,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34,1,0,0,0,1,29,1,2,1,33,23,0,2,1,26,10,0,0,0,10,7,0,0,0,7,11,0,0,0,11,24,0,0,0,24,100,0,0,0,100,0,0,0,0,0,28,0,3,1,32,23,0,0,0,23,25,0,1,0,26,16,0,0,0,16,5,0,0,0,5,0,0,0,0,0,5,1,0,0,6,0,0,0,0,0,307,2,8,3,320,California,270,New York,11,District Of Columbia,5,5
CAMPBELL UNIVERSITY,73,2,0,4,79,17,2,2,3,24,1,0,0,0,1,0,0,0,4,4,3,0,0,0,3,0,0,0,0,0,1,0,0,25,8,145,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,34,2,1,1,38,4,0,0,0,4,2,1,0,0,3,4,0,0,0,4,3,0,0,0,3,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,16,1,1,9,27,21,0,0,0,21,0,0,0,1,1,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,94,4,2,11,111,North Carolina,96,Virginia,6,Florida,2,0
CAPITAL UNIVERSITY,57,2,3,0,62,23,0,0,4,27,17,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,8,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,24,0,1,2,27,5,0,0,0,5,1,0,0,0,1,5,0,0,0,5,6,0,0,0,6,3,0,1,0,4,1,0,0,0,1,0,0,0,0,0,25,3,1,0,29,21,0,1,1,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,97,3,4,4,108,Ohio,94,Florida,3,Illinois,2,0
CARDOZO SCHOOL OF LAW,246,5,2,1,254,32,3,5,1,41,7,0,0,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,9,40,3,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,49,1,5,1,56,22,1,0,0,23,8,0,0,0,8,11,0,0,0,11,6,0,0,0,6,10,0,0,0,10,46,0,0,0,46,0,0,0,0,0,63,4,1,2,70,33,1,1,0,35,21,1,0,0,22,3,0,0,0,3,11,0,0,0,11,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,286,8,7,3,304,New York,255,New Jersey,26,Florida,4,1
ROGER WILLIAMS UNIVERSITY,68,0,3,0,71,19,2,2,1,24,3,1,1,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,20,7,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,30,2,0,0,0,2,4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,16,2,0,0,18,13,0,2,1,16,5,0,0,0,5,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,90,3,7,1,101,Rhode Island,50,Massachusetts,11,New York,9,0
RUTGERS UNIVERSITY,263,6,2,1,272,53,3,6,2,64,17,1,2,2,22,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,4,0,3,24,6,399,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,0,1,0,4,40,2,3,1,46,8,0,0,0,8,4,0,0,0,4,11,0,0,0,11,11,0,0,0,11,8,0,0,0,8,9,0,0,0,9,0,0,0,0,0,49,2,6,3,60,23,1,0,0,24,13,1,0,1,15,3,0,0,0,3,149,5,0,0,154,0,0,0,0,0,3,0,2,0,5,0,0,0,0,0,334,11,12,5,362,New Jersey,263,New York,55,Pennsylvania,25,0
RUTGERS UNIVERSITY-CAMDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Jersey,263,New York,55,Pennsylvania,25,0
RUTGERS UNIVERSITY-NEWARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Jersey,263,New York,55,Pennsylvania,25,0
SAINT LOUIS UNIVERSITY,121,4,3,1,129,37,2,2,0,41,6,1,0,0,7,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,1,0,18,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,31,2,2,1,36,9,0,0,0,9,8,0,0,0,8,0,0,0,0,0,16,0,0,0,16,2,0,0,0,2,14,0,0,0,14,0,0,0,0,0,40,4,1,1,46,21,2,1,0,24,11,0,0,0,11,0,0,1,0,1,7,0,0,0,7,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,164,8,5,2,179,Missouri,121,Illinois,26,District Of Columbia,5,0
SAMFORD UNIVERSITY,61,2,1,1,65,19,2,1,2,24,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,3,11,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,2,0,2,32,7,0,0,0,7,3,0,0,0,3,5,0,0,0,5,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,17,1,2,0,20,8,0,1,0,9,1,0,0,1,2,3,0,0,0,3,0,1,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,82,4,3,4,93,Alabama,65,Georgia,12,Florida,3,1
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,20,0,0,0,20,11,1,3,1,16,6,0,0,0,6,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,1,1,9,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,12,12,0,1,0,13,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,39,1,3,3,46,Massachusetts,35,Rhode Island,6,Colorado,1,0
UNIVERSITY OF NEVADA - LAS VEGAS,97,2,8,0,107,4,0,0,0,4,5,0,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,7,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,29,0,6,0,35,3,0,1,0,4,8,0,0,0,8,5,0,0,0,5,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,11,0,2,0,13,12,0,0,0,12,2,0,0,0,2,4,0,0,0,4,22,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2,10,0,118,Nevada,106,California,4,Arizona,1,1
UNT DALLAS COLLEGE OF LAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nevada,106,California,4,Arizona,1,0
"UTAH, UNIVERSITY OF",81,0,6,0,87,16,0,3,1,20,9,0,0,0,9,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,29,0,7,0,36,5,0,0,0,5,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,23,0,1,0,24,13,0,1,0,14,6,0,2,0,8,4,0,0,0,4,14,0,0,0,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,106,0,11,1,118,Utah,105,Nevada,3,Idaho,2,0
VALPARAISO UNIVERSITY,55,2,2,0,59,18,2,3,0,23,2,0,3,0,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,0,3,27,4,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,30,0,3,0,33,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,10,3,2,3,18,10,0,0,0,10,3,0,1,0,4,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,75,4,8,3,90,Indiana,45,Illinois,26,Michigan,3,0
YALE UNIVERSITY,173,0,0,0,173,7,1,1,0,9,3,0,1,1,5,0,0,1,0,1,11,0,0,0,11,0,0,0,0,0,7,0,3,2,2,213,6,0,0,0,6,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,5,0,0,0,5,63,0,0,0,63,0,0,0,0,0,7,0,1,0,8,10,1,0,0,11,16,0,1,0,17,72,0,0,0,72,6,0,0,0,6,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,194,1,3,1,199,New York,68,District of Columbia,31,California,25,7
