SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedLawSchoolFTLT,EmployedLawSchoolFTST,EmployedLawSchoolPTLT,EmployedLawSchoolPTST,EmployedLawSchoolNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",58,2,8,2,70,20,0,5,1,26,4,0,1,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,9,8,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,6,18,0,6,0,24,10,0,2,0,12,4,0,1,0,5,3,0,0,0,3,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,20,0,2,0,22,16,0,1,2,19,2,0,0,0,2,1,0,0,0,1,1,1,0,1,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,86,2,14,3,105,Ohio,92,Florida,2,New York,2,0
"ALABAMA, UNIVERSITY OF",110,0,0,0,110,16,1,3,0,20,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3,8,0,145,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,4,26,0,1,0,27,8,0,0,0,8,7,0,0,0,7,7,0,0,0,7,7,0,0,0,7,5,0,0,0,5,7,0,0,0,7,0,0,0,0,0,10,0,3,1,14,18,1,0,0,19,3,0,0,0,3,15,0,0,0,15,6,0,0,0,6,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,126,1,4,2,133,Alabama,66,Georgia,10,Texas,9,1
ALBANY LAW SCHOOL OF UNION UNIVERSITY,106,0,1,0,107,17,7,2,1,27,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,12,0,151,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,38,1,1,1,41,16,0,0,0,16,4,0,0,0,4,4,0,0,0,4,2,0,0,0,2,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,14,0,1,0,15,24,6,1,0,31,12,0,0,0,12,2,0,0,0,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,7,3,1,137,New York,126,New Jersey,3,District of Columbia,2,0
AMERICAN JUSTICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,126,New Jersey,3,District of Columbia,2,0
AMERICAN UNIVERSITY,219,5,1,0,225,56,9,4,4,73,14,1,1,4,20,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,15,7,3,67,3,415,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,23,2,2,1,28,8,0,0,0,8,5,0,0,0,5,5,0,0,0,5,8,0,0,0,8,12,0,0,0,12,35,0,0,0,35,0,0,0,0,0,34,3,1,3,41,65,6,1,0,72,28,5,1,1,35,13,0,0,0,13,46,0,0,0,46,1,0,0,1,2,5,0,1,3,9,0,0,0,0,0,289,16,6,9,320,District of Columbia,143,Virginia,39,Maryland,31,11
APPALACHIAN SCHOOL OF LAW,15,0,0,0,15,7,1,2,1,11,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,2,2,4,4,42,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,8,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,1,0,5,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,23,1,2,3,29,Virginia,15,West Virginia,5,Kentucky,3,0
ARIZONA STATE UNIVERSITY,131,1,0,0,132,35,0,3,0,38,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,13,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,37,0,2,0,39,9,0,0,0,9,6,0,0,0,6,4,0,0,0,4,5,0,0,0,5,4,0,0,0,4,10,0,0,0,10,0,0,0,0,0,31,1,3,0,35,38,0,0,0,38,1,0,0,0,1,2,0,0,0,2,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,1,5,0,173,Arizona,149,California,7,Utah,3,2
BOSTON COLLEGE,183,1,0,0,184,14,6,0,2,22,1,0,0,0,1,0,0,0,1,1,3,0,0,1,4,0,0,0,0,0,2,1,2,7,3,227,3,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,14,0,0,1,15,6,1,0,0,7,7,0,0,0,7,9,0,0,0,9,16,0,0,0,16,14,1,0,1,16,57,0,0,0,57,0,0,0,0,0,27,4,0,1,32,26,1,0,0,27,9,0,0,0,9,3,0,0,0,3,13,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,201,7,0,4,212,Massachusetts,134,New York,20,California,7,2
BOSTON UNIVERSITY,157,2,2,3,164,11,0,0,0,11,2,1,0,0,3,1,0,0,0,1,11,0,0,5,16,0,0,0,0,0,7,4,0,15,0,221,11,0,0,3,14,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,11,0,0,5,16,0,0,0,0,0,13,0,2,1,16,6,0,0,0,6,8,0,0,0,8,4,0,0,0,4,18,0,0,0,18,9,0,0,0,9,51,0,0,0,51,0,0,0,0,0,23,3,0,2,28,23,0,0,2,25,13,0,0,3,16,2,0,0,0,2,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,3,2,8,195,Massachusetts,95,New York,43,California,9,5
CARDOZO SCHOOL OF LAW,252,3,4,0,259,26,3,0,2,31,6,0,0,0,6,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6,5,3,21,5,338,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,51,0,4,0,55,21,0,0,0,21,13,0,0,0,13,11,0,0,0,11,9,0,0,0,9,12,0,0,0,12,39,0,0,0,39,0,0,0,0,0,50,3,0,2,55,39,2,0,0,41,23,2,0,0,25,3,0,0,0,3,12,0,0,0,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,285,7,4,2,298,New York,262,New Jersey,15,Colorado,3,2
GENERIC UNIVERSITY SCHOOL OF LAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,298,New Jersey,10,California,6,0
GEORGETOWN UNIVERSITY,485,1,1,0,487,38,1,1,1,41,7,0,1,1,9,2,0,2,0,4,44,23,0,1,68,1,0,0,0,1,5,12,7,16,2,652,29,10,0,0,39,15,12,0,1,28,0,1,0,0,1,0,0,0,0,0,44,23,0,1,68,0,1,0,0,1,18,1,1,1,21,12,0,0,0,12,8,1,0,0,9,10,0,0,0,10,17,0,0,0,17,32,0,0,0,32,252,0,0,0,252,0,0,0,0,0,26,0,3,2,31,96,8,0,0,104,42,13,0,0,55,35,1,0,0,36,24,0,0,0,24,0,0,0,0,0,4,0,1,0,5,1,0,0,0,1,577,25,5,3,610,District of Columbia,201,New York,142,California,31,21
GOLDEN GATE UNIVERSITY,30,4,1,2,37,15,3,1,4,23,7,2,2,2,13,1,1,1,1,4,1,1,0,4,6,0,0,0,0,0,2,2,2,23,0,112,0,0,0,2,2,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,4,6,0,1,0,0,1,5,0,1,1,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,5,24,13,3,3,2,21,6,0,1,2,9,9,2,0,3,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,54,11,5,13,83,California,77,District of Columbia,2,New York,1,0
